,,,,,,,,,,,,,
,Annual Top 10 Selling Albums: 1998-2018,,,,,,,,,Grammy Winners & Nominees: 1999-2019,,,
,Year,Album,Artist,Sales,Relative Album Sales - Top 10 Standing,"""Album of the Year"" Grammy Status",,,,Year,Nominated Albums,Artist,Winning Status
,2018,The Greatest Showman: Original Motion Picture Soundtrack,Various Artistis,"1,491,000",1,N/A,,,,2019,Golden Hour,Kacey Musgraves,Winner
,2018,A Star Is Born (Soundtrack),Lady Gaga & Bradley Cooper,"704,000",2,N/A,,,,2019,Beerbongs & Bentleys,Post Malone,Nominee
,2018,Kamikaze,Eminem,"493,000",3,N/A,,,,2019,"Black Panther: The Album, Music from and Inspired By",Various Artists,Nominee
,2018,Astroworld,Travis Scott,"464,000",4,N/A,,,,2019,"By the Way, I Forgive You",Brandi Carlile,Nominee
,2018,Rearview Town,Jason Aldean,"463,000",5,N/A,,,,2019,Dirty Computer,Janelle Monáe,Nominee
,2018,Man of the Woods,Justin Timberlake,"422,000",6,N/A,,,,2019,H.E.R.,H.E.R.,Nominee
,2018,Cry Pretty,Carrie Underwood,"401,000",7,N/A,,,,2019,Invasion of Privacy,Cardi B,Nominee
,2018,beerbongs & bentleys,Post Malone,"374,000",8,Nominee,,,,2019,Scorpion,Drake,Nominee
,2018,Come Tomorrow,Dave Matthews Band,"369,000",9,N/A,,,,2018,24K Magic,Bruno Mars,Winner
,2018,÷,Ed Sheeran,"367,000",10,N/A,,,,2018,"""Awaken, My Love!""",Childish Gambino,Nominee
,2017,Reputation,Taylor Swift,"1,903,000",1,N/A,,,,2018,DAMN.,Kendrick Lamar,Nominee
,2017,÷,Ed Sheeran,"1,102,000",2,N/A,,,,2018,4:44,Jay-Z,Nominee
,2017,DAMN,Kendrick Lamar,"910,000",3,Nominee,,,,2018,Melodrama,Lorde,Nominee
,2017,24K Magic,Bruno Mars,"710,000",4,Winner,,,,2017,25,Adele,Winner
,2017,Moana Soundtrack,Various Artists,"709,000",5,N/A,,,,2017,Lemonade,Beyoncé,Nominee
,2017, From A Room: Volume 1,Chris Stapleton,"658,000",6,N/A,,,,2017,Purpose,Justin Bieber,Nominee
,2017,Beautiful Trauma,P!nk,"628,000",7,N/A,,,,2017,A Sailor's Guide to Earth,Sturgill Simpson,Nominee
,2017,"Guardians of the Galaxy, Vol. 2: Awesome Mix Vol. 2",Various Artists,"600,000",8,N/A,,,,2017,Views,Drake,Nominee
,2017,Hardwired… To Self-Destruct,Metallica,"585,000",9,N/A,,,,2016,1989,Taylor Swift,Winner
,2017,Trolls Soundtrack,Various Artists,"522,000",10,N/A,,,,2016,Beauty Behind the Madness,The Weeknd,Nominee
,2016,25,Adele,"1,731,000",1,Winner,,,,2016,Sound & Color,Alabama Shakes,Nominee
,2016,Views,Drake,"1,608,000",2,Nominee,,,,2016,To Pimp a Butterfly,Kendrick Lamar,Nominee
,2016,Lemonade,Beyonce,"1,554,000",3,Nominee,,,,2016,Traveller,Chris Stapleton,Nominee
,2016,Traveller,Chris Stapleton,"1,085,000",4,N/A,,,,2015,Morning Phase,Beck,Winner
,2016,A Pentatonix Christmas,Pentatonix,"904,000",5,N/A,,,,2015,Beyoncé,Beyoncé,Nominee
,2016,Hamilton: An American Musical,Original Broadway Cast Recording,"820,000",6,N/A,,,,2015,Girl,Pharrell Williams,Nominee
,2016,Blurryface,Twenty One Pilots,"738,000",7,N/A,,,,2015,In the Lonely Hour,Sam Smith,Nominee
,2016,The Very Best of Prince,Prince,"668,000",8,N/A,,,,2015,x,Ed Sheeran,Nominee
,2016,Anti,Rihanna,"603,000",9,N/A,,,,2014,Random Access Memories,Daft Punk,Winner
,2016,Purpose,Justin Bieber,"554,000",10,Nominee,,,,2014,The Blessed Unrest,Sara Bareilles,Nominee
,2015,25,Adele,"7,441,000",1,N/A,,,,2014,"Good Kid, M.A.A.D City",Kendrick Lamar,Nominee
,2015,1989,Taylor Swift,"1,993,000",2,Winner,,,,2014,The Heist,Macklemore & Ryan Lewis,Nominee
,2015,Purpose,Justin Bieber,"1,269,000",3,N/A,,,,2014,Red,Taylor Swift,Nominee
,2015,X,Ed Sheeran,"1,162,000",4,N/A,,,,2013,Babel,Mumford & Sons,Winner
,2015,If You're Reading This It's Too Late,Drake,"1,142,000",5,N/A,,,,2013,Blunderbuss,Jack White,Nominee
,2015, In the Lonely Hour,Sam Smith,"1,018,000",6,N/A,,,,2013,Channel Orange,Frank Ocean,Nominee
,2015,Title,Meghan Trainor,"1,007,000",7,N/A,,,,2013,El Camino,The Black Keys,Nominee
,2015,Fifty Shades of Grey Soundtrack,Various Artists,"861,000",9,N/A,,,,2012,21,Adele,Winner
,2015,Kill the Lights,Luke Bryan,"851,000",10,N/A,,,,2012,Born This Way,Lady Gaga,Nominee
,2014,1989,Taylor Swift,"3,661,000",1,N/A,,,,2012,Doo0Wops and Hooligans,Bruno Mars,Nominee
,2014,Frozen Soundtrack,Various Artists,"3,527,000",2,N/A,,,,2012,Loud,Rihanna,Nominee
,2014,In the Lonely Hour,Sam Smith,"1,208,000",3,Nominee,,,,2012,Wasting Light ,Foo Fighters,Nominee
,2014,That's Christmas to Me,Pentatonix,"1,143,000",4,N/A,,,,2011,The Suburbs,Arcade Fire,Winner
,2014,Guardians of the Galaxy Soundtrack,Various Artists,"898,000",5,N/A,,,,2011,The Fame Monster,Lady Gaga,Nominee
,2014,Beyoncé,Beyoncé,"878,000",6,Nominee,,,,2011,Need You Now,Lady Antebellum,Nominee
,2014,Partners,Barbra Streisand,"856,000",7,N/A,,,,2011,Recovery,Eminem,Nominee
,2014,Pure Heroine,Lorde,"841,000",8,N/A,,,,2011,Teenage Dream,Katy Perry,Nominee
,2014,FOUR,One Direction,"814,000",9,N/A,,,,2010,Fearless,Taylor Swift,Winner
,2014,The Outsiders,Eric Church,"811,000",10,N/A,,,,2010,Big Whiskey and the GrooGrux King,Dave Matthews Band,Nominee
,2013,The 20/20 Experience,Justin Timberlake,"2,427,000",1,N/A,,,,2010,The E.N.D,The Black Eyed Peas,Nominee
,2013, The Marshall Mathers LP 2,Eminem,"1,727,000",2,N/A,,,,2010,The Fame ,Lady Gaga,Nominee
,2013,Crash My Party,Luke Bryan,"1,521,000",3,N/A,,,,2010,I Am... Sasha,Beyonce,Nominee
,2013,Night Visions, Imagine Dragons,"1,402,000",4,N/A,,,,2009,Raising Sand,Rober Plant,Winner
,2013,Unorthodox Jukebox,Bruno Mars,"1,399,000",5,N/A,,,,2009,Year of the Gentleman,Ne-Yo,Nominee
,2013,Here's To the Good Times,Florida Georgia Line,"1,350,000",6,N/A,,,,2009,Viva la Vida or Death and All His Friends,Coldplay,Nominee
,2013,Nothing Was The Same,Drake,"1,344,000",7,N/A,,,,2009,The Carter III,Lil Wayne,Nominee
,2013,Beyoncé,Beyoncé,"1,301,000",8,N/A,,,,2009,In Rainbows,Radiohead,Nominee
,2013,Based On A True Story,Blake Shelton,"1,109,000",9,N/A,,,,2008,River: The Joni Letters,Herbie Hancock,Winner
,2013,Magna Carta…Holy Grail,Jay Z,"1,099,000",10,N/A,,,,2008,These Days,Vince Gill,Nominee
,2012,21,Adele,"4,410,000",1,N/A,,,,2008,Graduation,Kanye West,Nominee
,2012,Red,Taylor Swift,"3,110,000",2,N/A,,,,2008,"Echoes, Silence, Patience & Grace",Foo Fighters,Nominee
,2012,Up All Night,One Direction,"1,620,000",3,N/A,,,,2008,Back to Black,Amy Winehouse,Nominee
,2012,Babel,Mumford & Sons,"1,460,000",4,Winner,,,,2007,Taking the Long Way,Dixie Chicks,Winner
,2012,Take Me Home,One Direction,"1,340,000",5,N/A,,,,2007,Stadium Arcadium,Red Hot Chili Peppers	,Nominee
,2012,Believe,Justin Bieber,"1,340,000",6,N/A,,,,2007,St. Elsewhere,Gnarls Barkley,Nominee
,2012,Blown Away,Carrie Underwood,"1,200,000",7,N/A,,,,2007,FutureSex/LoveSounds,Justin Timberlake,Nominee
,2012,Tailgates & Tanlines,Luke Bryan,"1,100,000",8,N/A,,,,2007,Continuum,John Mayer,Nominee
,2012,Tuskegee,Lionel Richie,"1,070,000",9,N/A,,,,2006,How to Dismantle an Atomic Bomb,U2,Winner
,2012,Night Train,Jason Aldean,"1,020,000",10,N/A,,,,2006,Love. Angel. Music. Baby.,Gwen Stefani,Nominee
,2011,21,Adele,"5,824,000",1,Winner,,,,2006,Late Registration,Kanye West,Nominee
,2011,Christmas,Michael Buble,"2,452,000",2,N/A,,,,2006,The Emancipation of Mimi,Mariah Carey,Nominee
,2011,Born This Way,Lady Gaga,"2,101,000",3,Nominee,,,,2006,Chaos and Creation in the Backyard,Paul McCartney,Nominee
,2011,Tha Carter IV, Lil Wayne,"1,917,000",,N/A,,,,2005,Genius Loves Company,Ray Charles & Various Artists,Winner
,2011,My Kinda Party,Jason Aldean,"1,576,000",4,N/A,,,,2005,The Diary of Alicia Keys,Alicia Keys,Nominee
,2011, Sigh No More,Mumford & Sons,"1,420,000",5,N/A,,,,2005,Confessions,Usher,Nominee
,2011,Take Care,Drake,"1,247,000",6,N/A,,,,2005,The College Dropout,Kanye West,Nominee
,2011,Under the Mistletoe,Justin Bieber,"1,245,000",7,N/A,,,,2005,American Idiot,Green Day,Nominee
,2011,Watch the Throne,Jay-Z & Kanye West,"1,232,000",8,N/A,,,,2004,Speakerboxxx/The Love Below,OutKast,Winner
